"STCode","DTCode","DTName","SDTCode","SDTName","TVCode","Name"
"21","000","ODISHA","00000","ODISHA","000000","ODISHA"
"21","370","Bargarh","00000","Bargarh","000000","Bargarh"
"21","370","Bargarh","02755","Paikamal","000000","Paikamal"
"21","370","Bargarh","02755","Paikamal","379717","Jogendanathpur"
"21","370","Bargarh","02755","Paikamal","379718","Bhubaneswarpur"
"21","370","Bargarh","02755","Paikamal","379719","Chhatagaon"
"21","370","Bargarh","02755","Paikamal","379720","Ghuchapali"
"21","370","Bargarh","02755","Paikamal","379721","Kuturamal"
"21","370","Bargarh","02755","Paikamal","379722","Mandiadhipa"
"21","370","Bargarh","02755","Paikamal","379723","Hirapur"
"21","370","Bargarh","02755","Paikamal","379724","Chuhapali"
"21","370","Bargarh","02755","Paikamal","379725","Kechhodadar"
"21","370","Bargarh","02755","Paikamal","379726","Frejarpur"
"21","370","Bargarh","02755","Paikamal","379727","Chheliamal"
"21","370","Bargarh","02755","Paikamal","379728","Sukhatal"
"21","370","Bargarh","02755","Paikamal","379729","Temri"
"21","370","Bargarh","02755","Paikamal","379730","Dhandupali"
"21","370","Bargarh","02755","Paikamal","379731","Sodha"
"21","370","Bargarh","02755","Paikamal","379732","Khursapali"
"21","370","Bargarh","02755","Paikamal","379733","Jhengnadihi"
"21","370","Bargarh","02755","Paikamal","379734","Nagdihi"
"21","370","Bargarh","02755","Paikamal","379735","Kuapali"
"21","370","Bargarh","02755","Paikamal","379736","Mahulpali"
"21","370","Bargarh","02755","Paikamal","379737","Palsada"
"21","370","Bargarh","02755","Paikamal","379738","Goebahali"
"21","370","Bargarh","02755","Paikamal","379739","Khaira"
"21","370","Bargarh","02755","Paikamal","379740","Bijadihi"
"21","370","Bargarh","02755","Paikamal","379741","Dengalikendu"
"21","370","Bargarh","02755","Paikamal","379742","Gandpali"
"21","370","Bargarh","02755","Paikamal","379743","Khandsibanji"
"21","370","Bargarh","02755","Paikamal","379744","Haridatal"
"21","370","Bargarh","02755","Paikamal","379745","Kermelabahal"
"21","370","Bargarh","02755","Paikamal","379746","Bhagatpur"
"21","370","Bargarh","02755","Paikamal","379747","Borasambar"
"21","370","Bargarh","02755","Paikamal","379748","Malda"
"21","370","Bargarh","02755","Paikamal","379749","Banmal"
"21","370","Bargarh","02755","Paikamal","379750","Sadanandapur"
