STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5698,Thiruvallur,629100,Narasingaparam,"Narasingaparam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,607,Viluppuram,5729,Tindivanam,632593,Kurumparam,"Kurumparam,Tindivanam,Viluppuram,Tamilnadu,India"
