STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
17,294,East Garo Hills,1971,Dambo Rongjeng ,274761,Cheran Chikal,"Cheran Chikal,Dambo Rongjeng,East Garo Hills,Meghalaya,India"
17,295,South Garo Hills,1978,Rongara ,276214,Matchakal,"Matchakal,Rongara,South Garo Hills,Meghalaya,India"
