"STCode","DTCode","DTName","SDTCode","SDTName","TVCode","Name"
"03","000","PUNJAB","00000","PUNJAB","000000","PUNJAB"
"03","035","Gurdaspur","00000","Gurdaspur","000000","Gurdaspur"
"03","035","Gurdaspur","00200","Dhar Kalan","000000","Dhar Kalan"
"03","035","Gurdaspur","00200","Dhar Kalan","027374","Darbahn (406)"
"03","035","Gurdaspur","00200","Dhar Kalan","027375","Darkua Bangla (405)"
"03","035","Gurdaspur","00200","Dhar Kalan","027376","Sarti(404)"
"03","035","Gurdaspur","00200","Dhar Kalan","027377","Dukhan Iyali (407) "
"03","035","Gurdaspur","00200","Dhar Kalan","027378","Ghar (408)"
"03","035","Gurdaspur","00200","Dhar Kalan","027379","Barsudhal (409)"
"03","035","Gurdaspur","00200","Dhar Kalan","027380","Dunera (418)"
"03","035","Gurdaspur","00200","Dhar Kalan","027381","Bhamlada (410) "
"03","035","Gurdaspur","00200","Dhar Kalan","027382","Nalloh (411)"
"03","035","Gurdaspur","00200","Dhar Kalan","027383","Phangota (403)"
"03","035","Gurdaspur","00200","Dhar Kalan","027384","Dhar Khurd (412)"
"03","035","Gurdaspur","00200","Dhar Kalan","027385","Faugli Mawa (413)"
"03","035","Gurdaspur","00200","Dhar Kalan","027386","Lanjera (417)"
"03","035","Gurdaspur","00200","Dhar Kalan","027387","Lohrun (Lehroon) (419) "
"03","035","Gurdaspur","00200","Dhar Kalan","027388","Bakhatpur (420)"
"03","035","Gurdaspur","00200","Dhar Kalan","027389","Rohg (416)"
"03","035","Gurdaspur","00200","Dhar Kalan","027390","Bhanguri (415)"
"03","035","Gurdaspur","00200","Dhar Kalan","027391","Jalahar (414)"
"03","035","Gurdaspur","00200","Dhar Kalan","027392","Dhar Kalan (400)"
"03","035","Gurdaspur","00200","Dhar Kalan","027393","Hardo Saran (401)"
"03","035","Gurdaspur","00200","Dhar Kalan","027394","Chamrour (402)"
"03","035","Gurdaspur","00200","Dhar Kalan","027395","Thara Uparla (399/2)"
"03","035","Gurdaspur","00200","Dhar Kalan","027396","Thara Jhikla (399/1)"
"03","035","Gurdaspur","00200","Dhar Kalan","027397","Narianpur (395)"
"03","035","Gurdaspur","00200","Dhar Kalan","027398","Hara (394)"
"03","035","Gurdaspur","00200","Dhar Kalan","027399","Tarhari (396)"
"03","035","Gurdaspur","00200","Dhar Kalan","027400","Tureti (397)"
"03","035","Gurdaspur","00200","Dhar Kalan","027401","Kot (CT)"
"03","035","Gurdaspur","00201","Pathankot","000000","Pathankot"
"03","035","Gurdaspur","00201","Pathankot","027402","Rajpura(366)"
"03","035","Gurdaspur","00201","Pathankot","027403","Barkola (365)"
"03","035","Gurdaspur","00201","Pathankot","027404","Harur (364)"
